patent_number,title,abstract,date_filed,date_granted
US12200855B2,"Radio frequency front-end structures 
       ","
     Disclosed herein are radio frequency (RF) front-end structures, as well as related methods and devices. In some embodiments, an RF front-end package may include an RF package substrate including an embedded passive circuit element. At least a portion of the embedded passive circuit element may be included in a metal layer of the RF package substrate. The RF package substrate may also include a ground plane in the metal layer. 
   
   ",,
US12302118B2,"Uplink transmission method in unlicensed band in wireless communication system and terminal using same method 
       ","
     The present invention relates to a method for transmitting a Physical Uplink Shared Channel (PUSCH), performed by a user equipment (UE) in an unlicensed band, the method comprising: receiving downlink control information (DCI) including information on a listen before talk (LBT) type and information on a PUSCH start position from a base station; and transmitting the PUSCH on the basis of the information on the LBT type and the information on the PUSCH start position, wherein the LBT type is one of LBT type 1, LBT type 2, and LBT type 3, a random backoff-based LBT is performed in the LBT type 1, an LBT without a random backoff is performed in the LBT type 2, and an uplink is transmitted without LBT in LBT type 3. 
   
   ",,
US12290160B2,"Wearable and replaceable pouch or skin for holding a portable battery pack 
       ","
     A wearable pouch operable to hold at least one portable battery pack and other power or communications equipment. The wearable pouch includes a main body with a front side, a back side opposite the front side, at least one scalable opening, and at least one opening for at least one lead from the at least one portable battery pack secured within the wearable pouch. 
   
   ",,
US12285271B2,"Continuous analyte monitoring system with microneedle array 
       ","
     Described herein are variations of an analyte monitoring system, including an analyte monitoring device. For example, an analyte monitoring device may include an implantable microneedle array for use in measuring one or more analytes (e.g., glucose), such as in a continuous manner. The microneedle array may include, for example, at least one microneedle including a tapered distal portion having an insulated distal apex, and an electrode on a surface of the tapered distal portion located proximal to the insulated distal apex. At least some of the microneedles may be electrically isolated such that one or more electrodes is individually addressable. 
   
   ",,
US12251194B2,"Time-of-flight sensors co-registered with camera systems 
       ","
     A remote sensing system for time-of-flight measurements may comprise an array of laser diodes with Bragg reflectors operating in the near-infrared wavelength range synchronized to a detection system comprising lenses, spectral filters and a photodiode array coupled to a processor. The time-of-flight depth information may be combined with various camera imaging systems. The camera system may comprise a lens system, prism and a sensor. In another embodiment, the data from two cameras may be combined with the time-of-flight depth information. Yet another embodiment comprises an imaging system with another array of laser diodes followed by a beam splitter and a detection system. The remote sensing system may be coupled to a smart phone, tablet or wearable device, and the combined data may provide three-dimensional information about at least some part of an object. Also, artificial intelligence may be used in the processing to make decisions regarding the depth and images. 
   
   ",,
US12295888B2,"Wearable assembly 
       ","
     In one embodiment, a wearable assembly that includes a plurality of components is provided. The components include an eyepiece assembly fittable over a portion of a wearer's face, the eyepiece assembly including one or more strands, at least a portion of the eyepiece assembly including a phase change material, wherein a shape of the eyepiece assembly changes upon an application of an energy to the phase changing portion to one or more of conform and contour to one or more features of the wearer's face; and nosepiece connected to the eyepiece assembly. 
   
   ",,
US12251357B2,"Tactile warning panel apparatus with smart technology 
       ","
     Multipurpose tactile warning panels for use in pedestrian walkways, and in particular tactile warning panels that are designed and built with multifunction/multipurpose capabilities that serve the visually impaired and enable the deployment of smart city technology by integrating tactile warning systems and subsurface enclosures that can withstand pressures of five (5) tons up to and exceeding sixty (60) tons and incorporate small cells, beacons, sensors, Fog Computing, electric energy generation, rechargeable power supplies, wireless M2M communication and a plethora of other smart city technologies. 
   
   ",,
US12302067B2,"Hearing device comprising a transmitter 
       ","
     A hearing device, e.g. a hearing aid, is configured to be arranged at least partly on a user's head or at least partly implanted in a user's head. The hearing device comprises a) at least one input transducer for picking up an input sound signal from the environment and providing at least one electric input signal representing said input sound signal; b) a signal processor connected to the at least one input transducer, the signal processor being configured to analyze the electric input signal and to provide a transmit control signal in dependence thereof; c) a memory buffer, e.g. a cyclic buffer, for storing a current time segment of a certain duration of said at least one electric input signal, or a processed version thereof; and a transmitter for transmitting at least a part of said time segment, or a processed version thereof, to an external device in dependence of said transmit control signal. 
   
   ",,
US12217840B2,"Electronic healthcare record data blockchain system and process 
       ","
     An Electronic Health Record (EHR) data blockchain system configured to allow multiple entities (e.g., pharmacy industry entities and healthcare providers that can act as data, service, product and service providers, and consumers) to connect to an EHR patient transaction blockchain (e.g., EHR-DATA-BC) and an EHR Data Patient Portal (e.g., EHR-Data-PP) to provide a centralized location for messages and subsequent edits to ensure uniform message data is presented. The EHR data blockchain system can include an EHR Data API, an EHR patient transaction blockchain API, and an EHR patient transaction blockchain. The EHR data blockchain system can provide workflow on the blockchain that can utilize smart contracts to define workflow processes, expected outcomes, and financial costs. When a prescription transaction is complete, it will result in the settlement of each of the smart contracts that were added to the prescription workflow. 
   
   ",,
US12186623B2,"Monitoring joint extension and flexion using a sensor device securable to an upper and lower limb 
       ","
     In some embodiments, a system for rehabilitation includes an electronic device including a memory device for storing instructions, a network interface card, and a sensor. The system includes a processing device operatively coupled to the memory device, the network interface card, and the sensor, wherein the processing device executes the instructions to determine angles while a user is engaging one or more pedals of an electromechanical device, and transmit, via the network interface card, the angles to a computing device controlling the electromechanical device, and based on the angles satisfying a range of one or more respective motion threshold conditions, wherein, while the user operates at least one of the one or more pedals, the transmitting the angles to the computing device causes the computing device to increase a diameter of a range of motion of one of the one or more pedals. 
   
   ",,
US12198259B2,"Devices, methods, and graphical user interfaces for interacting with three-dimensional environments 
       ","
     A computer system displays a first user interface object with a first appearance at a first position in a first view of a three-dimensional environment that is at least partially shared between a first and second user. While displaying the first user interface object, the computer system detects a first user input by the first user. In response to detecting the first user input: in accordance with a determination that the second user is not currently interacting with the first user interface object, the computer system performs a first operation; and in accordance with a determination that the second user is currently interacting with the first user interface object, the computer system displays a visual indication, that the first user interface object is not available for interaction, including changing an appearance or position of the first user interface object, and forgoes performing the first operation. 
   
   ",,
US12290414B2,"Augmented reality guidance for vascular procedures 
       ","
     Devices and methods for performing an interventional vascular procedure with visual guidance using one or more optical head mounted displays are disclosed. Devices and methods for compensating the display of an optical head mounted display for cardiac and/or respiratory motion are disclosed. 
   
   ",,
US12245859B2,"Physiological monitoring device 
       ","
     The present invention relates to a physiological monitoring device. Some embodiments of the invention allow for long-term monitoring of physiological signals. Further embodiments may also allow for the monitoring of secondary signals such as motion. 
   
   ",,
US12271089B2,"Variable-focus virtual image devices based on polarization conversion 
       ","
     Example display devices include a waveguide configured to propagate visible light under total internal reflection in a direction parallel to a major surface of the waveguide. The waveguide has formed thereon an outcoupling element configured to outcouple a portion of the visible light in a direction normal to the major surface of the waveguide. The example display devices additionally include a cholesteric liquid crystal (CLC) reflector disposed on a forward side of said waveguides, said CLC reflector configured to have an optical power or a depth of focus that is adjustable upon application of an electrical signal. The out-coupling element is disposed to extract light from the waveguide and direct at least a portion of said light propagating within said waveguide to the CLC reflector, said light being directed from said CLC reflector back through said waveguide and into said eye to present an image from the optical display into the eye of the wearer. 
   
   ",,
US12112223B2,"Wireless device and selective user control and management of a wireless device and data 
       ","
     A system and method to provide user marketing recommendations or suggestions based on an interaction between a user and a product, using a radio frequency tag in communication with the product, a radio frequency reader, and a computing device. A motion of the user detected by the radio frequency tag is used to generate a signal containing level of motion, which is utilized by the computing device to determine a level of user interaction and generate marketing information. Marketing information about how to use the product in a recipe is sent to the user interface device. 
   
   ",,
US12301953B2,"Merging permissions and content output 
       ","
     Aspects of the disclosure relate to determining that a wireless device associated with one user account is proximate to a computing device associated with another user account. In response to determining the proximity of the two devices, one or more of the devices may receive merged access to permissions and/or content associated with the two user accounts. In response to determining that the wireless device is not proximate to the computing device, the devices may no longer receive merged access to permissions and/or content associated with the two user accounts. 
   
   ",,
US12289273B2,"Method for transmitting and receiving data in wireless communication system, and apparatus therefor 
       ","
     In the present disclosure, disclosed are a method for transmitting and receiving data in a wireless communication system and an apparatus therefor. Particularly, a method by which a user equipment (UE) supported by a plurality of apparatuses comprising a first apparatus and a second apparatus transmits and receives data in a wireless communication system comprises the steps of: receiving first control information from the first apparatus and receiving second control information from the second apparatus; receiving data from at least one of the first apparatus or the second apparatus; and transmitting, to at least one of the plurality of apparatuses, first feedback information regarding the first apparatus and second feedback information regarding the second apparatus, wherein the first control information and the second control information each comprises a downlink assignment index (DAI), and the DAI may be set on the basis of an index related to the plurality of apparatuses. 
   
   ",,
US12063338B2,"Augmented reality guidance for spinal surgery with stereoscopic displays and magnified views 
       ","
     Embodiments disclose a real-time surgery method and apparatus for displaying a stereoscopic augmented view of a patient from a static or dynamic viewpoint of the surgeon, which employs real-time three-dimensional surface reconstruction for preoperative and intraoperative image registration. Stereoscopic cameras provide real-time images of the scene including the patient. A stereoscopic video display is used by the surgeon, who sees a graphical representation of the preoperative or intraoperative images blended with the video images in a stereoscopic manner through a see-through display. 
   
   ",,
US12214130B2,"Systems and methods for assisting patient airway management 
       ","
     A medical system for assisting with an intubation procedure for a patient. The system comprising airflow sensors configured to obtain data indicative of airflow in the patient's airway and physiological sensors configured to obtain information regarding airflow in the patient's lungs. The system further including a monitoring device communicatively coupled to the airflow sensors and the physiological sensors. The patient monitoring device comprising at least one processor coupled to memory and configured to: provide a user interface on a display and assist the rescuer in determining proper placement of an endotracheal tube, receive the data indicative of the airflow in the patient's airway, receive the physiological information regarding the airflow in the patient's lungs, and determine whether the tube is properly placed based on the received physiological information, and present an output of the determination of whether the ET tube was properly placed. 
   
   ",,
US12211611B2,"Surgery visualization theatre 
       ","
     An augmented/extended reality (AXR) headset for use with a surgery visualization system is described herein. The AXR headset includes a wearable support frame, one or more forward-facing cameras pivotably mounted to the wearable support frame, an imaging system mounted to the wearable support frame, and a control logic processor coupled to the one or more front facing cameras and the image generator, and programmed to execute an algorithm including the steps of receiving image data from the one or more forward-facing cameras and operating the image generator to display the received image data onto the curved mirror. 
   
   ",,
US12204487B2,"Graphics processor data access and sharing 
       ","
     Embodiments are generally directed to graphics processor data access and sharing. An embodiment of an apparatus includes a circuit element to produce a result in processing of an application; a load-store unit to receive the result and generate pre-fetch information for a cache utilizing the result; and a prefetch generator to produce prefetch addresses based at least in part on the pre-fetch information; wherein the load-store unit is to receive software assistance for prefetching, and wherein generation of the pre-fetch information is based at least in part on the software assistance. 
   
   ",,
US12302039B2,"Personal tactical system including garment, camera, and power distribution and data hub 
       ","
     A personal tactical system including a load-bearing garment, a pouch with one or more batteries enclosed in the pouch, at least one power distribution and data hub, and at least one camera. The camera is incorporated into or removably attachable to the load-bearing garment, the pouch is removably attachable to the load-bearing garment and the one or more batteries are operable to supply power to the at least one power distribution and data hub. The at least one power distribution and data hub is operable to supply power to at least one peripheral device. A plurality of personal tactical systems is operable to form an ad hoc network to share images and other information for determining object direction, location, and movement. 
   
   ",,
US12197716B2,"Physical activity information user interfaces 
       ","
     The present disclosure generally relates to user interfaces for navigating and providing physical activity information. 
   
   ",,
US12299842B2,"Adaptive deep learning model for noisy image super-resolution 
       ","
     Embodiments described herein are generally directed to an end-to-end trainable degradation restoration network (DRN) that enhances the ability of a super-resolution (SR) subnetwork to deal with noisy low-resolution images. An embodiment of a method includes estimating, by a noise estimator (NE) subnetwork of the DRN, an estimated noise map for a noisy input image; and predicting, by the SR subnetwork of the DRN, a clean upscaled image based on the input image and the noise map by, for each of multiple conditional residual dense blocks (CRDBs) stacked within one or more cascade blocks representing the SR subnetwork, adjusting, by a noise control layer of the CRDB that follows a stacked set of a multiple residual dense blocks of the CRDB, feature values of an intermediate feature map associated with the input image by applying (i) a scaling factor and (ii) an offset factor derived from the noise map. 
   
   ",,
US12176622B2,"Electronic device comprising antenna 
       ","
     Disclosed is an electronic device. The electronic device according to an embodiment includes a plurality of antennas, and a communication circuit electrically connected with the plurality of antennas. The communication circuit includes a plurality of circuits receiving a signal in a first band and is configured to simultaneously receive the signal in the first band through two or more circuits of the plurality of circuits from two or more antennas, which are positioned adjacent to each other, from among the plurality of antennas. The number of the plurality of antennas is the same as the number of plurality of circuits. 
   
   ",,
US12214099B2,"User equipment having multiple subscriber identity modules with improved suspend / resume operation 
       ","
     Devices and associated methods for operating a dual-subscriber identity module (SIM) dual-standby (DSDS) user equipment device (UE) configured with a first SIM and a second SIM. The UE performs communications with a first cellular network using the first SIM and a first radio resource control (RRC) connection, and receives a request to perform a higher priority communication using the second SIM. In response to the request to perform the higher priority communication, the UE transmits a request to the first network to suspend the first RRC connection. After transmission of the request to suspend the first RRC connection, the UE receives a message from the first network to place the first RRC connection in an inactive state, and initiates a timer, wherein the timer is used to determine whether the first RRC connection remains in the inactive state or transitions to an idle state. 
   
   ",,
US12210142B2,"Photographing optical lens assembly, image capturing unit and electronic device 
       ","
     A photographing optical lens assembly includes, in order from an object side to an image side, a first lens element, a second lens element, a third lens element, a fourth lens element, a fifth lens element, a sixth lens element and a seventh lens element. The first lens element with refractive power has an object-side surface being convex in a paraxial region thereof. Each second, third, fourth and fifth lens element has refractive power. The sixth lens element with negative refractive power has an object-side surface being concave in a paraxial region thereof and an image-side surface being convex in a paraxial region thereof, and both of the surfaces of the sixth lens element are aspheric. The seventh lens element with refractive power has an image-side surface being concave in a paraxial region thereof, wherein the image-side surface has at least one convex shape in an off-axis region thereof. 
   
   ",,
US12279108B2,"Systems and methods for populating online applications using third party platforms 
       ","
     A system and method includes a communication interface configured to transmit a web-based form to an applicant device and receive a selection of the third party to provide data to populate the plurality of fields of the web-based form and an application server that, in conjunction with the communication interface, is configured to perform various steps. It may, in response to receiving the selection, transmit a third-party API call to the selected third party. It may also transmit data indicative of an authentication request associated with the selected third party and receive data indicative of a validated authentication request. It may further request a set of data from the selected third party via the third party API and receive the requested set of data, which includes data for populating a specific data field on the web-based form. 
   
   ",,
US12259531B2,"Photographing optical lens assembly, image capturing unit and electronic device 
       ","
     A photographing optical lens assembly includes, in order from object side to image side, a first lens element, a second lens element, a third lens element, a fourth lens element, a fifth lens element, a sixth lens element and a seventh lens element. The first lens element has positive refractive power. The second, third, fourth and fifth lens elements have refractive power. The sixth lens element with refractive power has an image-side surface being concave in a paraxial region, wherein an object-side surface and the image-side surface of the sixth lens element are both aspheric, and the image-side surface has at least one inflection point. The seventh lens element with refractive power has an image-side surface being concave in a paraxial region, wherein an object-side surface and the image-side surface of the seventh lens element are both aspheric, and the image-side surface has at least one inflection point. 
   
   ",,
US12177258B2,"Extended reality augmentation of images and displayed objects 
       ","
     Methods and systems provide for augmenting images and displayed objects using extended reality (XR) images. Image data may be received that includes real-world image data displayed on a display of the client device, which is monitored by a guide software component, and XR images. A person may be identified from the real-world image data, and, in response to identifying the person, stored information may be retrieved from a record associated with the identified person in a database in communication with the client device. The guide software component may then modify the XR images in response to identifying the person to include the retrieved information associated with the identified person. Additional XR images may be used to provide informative content at spatial anchor locations within the real-world image data. 
   
   ",,
US12277935B2,"Accessory device based authentication for digital assistant requests 
       ","
     An example process includes at an electronic device with one or more processors and memory: while the electronic device is in a locked state and in communication with an external accessory device: receiving a natural language input; determining whether the natural language input corresponds to a secure task request; in accordance with a determination that the natural language input corresponds to a secure task request: determining whether one or more states of the external accessory device satisfy a set of authentication criteria; and in accordance with a determination that the one or more states of the external accessory device satisfy the set of authentication criteria: initiating, by the electronic device, a secure task corresponding to the natural language input; and providing an output indicative of the initiated secure task. 
   
   ",,
US12273573B2,"Distribution and playback of media content 
       ","
     Techniques and systems are provided for processing media data. For example, methods, apparatuses, and computer-readable media are described that can include receiving a multicast stream of media content, and dividing the multicast stream of media content into data fragments. In some cases, the multicast stream of media content can be transcoded from a first media format to a second media format. The data fragments can be transmitted, over one or more Transmission Control Protocol (TCP) channels using a web socket protocol, to a browser of the computing device for playback. 
   
   ",,
US12254582B2,"Mixed reality musical instrument 
       ","
     A method is disclosed, the method comprising the steps of identifying a first real object in a mixed reality environment, the mixed reality environment having a user; identifying a second real object in the mixed reality environment; generating, in the mixed reality environment, a first virtual object corresponding to the second real object; identifying, in the mixed reality environment, a collision between the first real object and the first virtual object; determining a first attribute associated with the collision; determining, based on the first attribute, a first audio signal corresponding to the collision; and presenting to the user, via one or more speakers, the first audio signal. 
   
   ",,
US12302454B2,"Power indication method and apparatus 
       ","
     This disclosure provides power indication methods and apparatuses for wireless communications. In an implementation, a method includes: receiving antenna transmit capability information from a terminal device, wherein the antenna transmit capability information indicates whether a maximum transmit power value of a physical uplink shared channel (PUSCH) corresponding to each sounding reference signal (SRS) port in a SRS resource reaches a preset power value, and determining based on the antenna transmit capability information, whether the maximum transmit power value of the PUSCH corresponding to each SRS port in the SRS resource reaches the preset power value. 
   
   ",,
US12139827B2,"Fabric control device 
       ","
     A fabric-based item may include a housing that is covered in fabric. Areas of the fabric may overlap input circuitry such as button switches, touch sensors, force sensors, proximity sensors, and other sensing circuitry and may overlap other components such as light-emitting components and haptic output devices. The fabric-based item may include control circuitry that gathers user input from the input circuitry and wireless communications circuitry that the control circuitry uses to transmit remote control commands and other wireless signals in response to information from the input circuitry. The fabric-based item may have a weight that is located in the housing to orient the housing in a desired direction when the housing rests on a surface. A movable weight may tilt the housing in response to proximity sensor signals or other input. Portions of the fabric may overlap light-emitting components and optical fiber configured to emit light. 
   
   ",,
US12295053B2,"Transitioning between multi-link and single-link mode on a transmission opportunity (TXOP) basis 
       ","
     Disclosed are techniques for wireless communication. In an aspect, an access point (AP) communicates with at least one wireless station (STA) and supporting a plurality of communication devices and communication modes on a communication medium, establishes a single-link communication mode with the at least one wireless STA and at least one communication device of the plurality of communication devices over a single-link, establishes a multi-link communication mode with the at least one wireless STA and the at least one communication device over a multi-link, and dynamically transitions between the single-link communication mode and the multi-link communication mode based upon a determination related to a best mode of delivery for a next period. 
   
   ",,
US12295675B2,"System for transcribing and performing analysis on patient data 
       ","
     Methods, apparatuses, and systems for transcribing and performing analysis on patient data are disclosed. Data is collected from one or more medical professionals as well as sensors and imaging devices positioned on or oriented towards a patient. An analysis is performed on the patient data and the data is presented to a medical professional via a verbal interface in a conversational manner, allowing the medical professional to provide additional data such as observations or instructions which may be used for further analysis or to perform actions related to the patient's care. 
   
   ",,
US12267820B2,"Information on sidelink resource 
       ","
     One embodiment of the present disclosure provides a method for transmitting, by a first device, information on an SL resource. The method comprises the steps of: receiving, from a base station, TDD-UL-DL configuration information; obtaining information on an SL resource, on the basis of the TDD-UL-DL configuration information; and transmitting, to a second device over a PSBCH, the information on the SL resource. 
   
   ",,
US12299402B2,"Techniques for out-of-domain (OOD) detection 
       ","
     The present disclosure relates to techniques for identifying out-of-domain utterances. One particular technique includes receiving an utterance and a target domain of a chatbot, generating a sentence embedding for the utterance, obtaining an embedding representation for each cluster of in-domain utterances associated with the target domain, predicting, using a metric learning model, a first probability that the utterance belongs to the target domain based on a similarity or difference between the sentence embedding and each embedding representation for each cluster, predicting, using an outlier detection model, a second probability that the utterance belongs to the target domain based on a determined distance or density deviation between the sentence embedding and embedding representations for neighboring clusters, evaluating the first probability and the second probability to determine a final probability, and classifying the utterance as in-domain or out-of-domain for the chatbot based on the final probability. 
   
   ",,
US12251616B2,"Pacing lighting system for strength training apparatus 
       ","
     A strength training apparatus includes a rack configured to hold a bar between exercises performed using the bar, at least one light source coupled to the rack, and a controller communicable with the light sources. The controller is programmed to determine a desired range of motion for a current exercise and control the at least one light source to display an illumination pattern based on the desired range of motion. 
   
   ",,
US12190727B2,"Systems and methods for alerting persons of approaching emergency vehicles 
       ","
     A computer-implemented method for alerting passenger vehicles of approaching emergency vehicles is implemented by an alert management computing device. The method includes receiving an emergency vehicle alert request message from an emergency vehicle transmitter, receiving passenger vehicle location data from a plurality of passenger vehicle user computing devices located in a plurality of passenger vehicles, wherein the passenger vehicle location data includes a present passenger vehicle location and a present passenger vehicle trajectory, identifying an alert zone for the emergency vehicle based on the present emergency vehicle location and the present emergency vehicle trajectory, identifying a vehicle zone for each of the plurality of passenger vehicles, identifying a subset of the passenger vehicles within the alert zone by comparing each vehicle zone to the alert zone, and transmitting a warning to the subset of passenger vehicles via the passenger vehicle user computing devices. 
   
   ",,
US12237701B2,"Portable power case with lithium iron phosphate battery 
       ","
     Systems, methods, and articles for a portable power case are disclosed. The portable power case is comprised of at least one battery and at least one PCB. The portable power case has at least one USB port and at least two access ports, at least two leads, or at least one access port and at least one lead. The portable power case is operable to supply power to an amplifier, a radio, a wearable battery, a mobile phone, and a tablet. The portable power case is operable to be charged using solar panels, vehicle batteries, AC adapters, non-rechargeable batteries, and generators. The portable power case provides for modularity that allows the user to disassemble and selectively remove the batteries installed within the portable power case housing. 
   
   ",,
US12294231B2,"Portable power case with heat-resistant material 
       ","
     Systems, methods, and articles for a portable power case are disclosed. The portable power case is comprised of at least one battery and at least one PCB. The portable power case has at least two access ports, at least two leads, or at least one access port and at least one lead and at least one USB port. The portable power case is operable to supply power to an amplifier, a radio, a wearable battery, a mobile phone, and a tablet. The portable power case is operable to be charged using solar panels, vehicle batteries, AC adapters, non-rechargeable batteries, and generators. The portable power case provides for modularity that allows the user to disassemble and selectively remove the batteries installed within the portable power case housing. 
   
   ",,
US12284723B2,"Temporary handling of wireless communication device capabilities 
       ","
     A wireless communication device (UE) may provide information pertaining to one or more operating capabilities of the UE to LTE and 5G-NR networks. The UE may transmit information to an LTE base station directly, and to a 5G-NR base station directly, or indirectly via the LTE base station. The information may include preferred values corresponding to any number of different operating parameters associated with wireless communications or wireless communication capabilities of the UE in both LTE and 5G-NR networks, informing and/or requesting the LTE and 5G-NR networks to make provisions based on the transmitted information for the wireless communications of the UE on those networks. The UE may thereby provide assistance information to LTE and 5G-NR networks in a multi-radio-access-technology dual-connectivity setting to request the respective networks to adjust certain operating capabilities of the UE in order to alleviate one or more operating issues that may be affecting the UE. 
   
   ",,
US12289931B2,"Portable power case 
       ","
     Systems, methods, and articles for a portable power case are disclosed. The portable power case is comprised of at least one battery and at least one PCB. The portable power case has at least two access ports and at least one USB port. The portable power case is operable to supply power to an amplifier, a radio, a wearable battery, a mobile phone, and a tablet. The portable power case is operable to be charged using solar panels, vehicle batteries, AC adapters, non-rechargeable batteries, and generators. The portable power case provides for modularity that allows the user to disassemble and selectively remove the batteries installed within the portable power case housing. 
   
   ",,
US12300666B2,"Microelectronic assemblies with communication networks 
       ","
     Microelectronic assemblies, and related devices and methods, are disclosed herein. For example, in some embodiments, a microelectronic assembly may include a package substrate, a first die coupled to the package substrate with first interconnects, and a second die coupled to the first die with second interconnects, wherein the second die is coupled to the package substrate with third interconnects, a communication network is at least partially included in the first die and at least partially included in the second die, and the communication network includes a communication pathway between the first die and the second die. 
   
   ",,
US12273163B2,"Wireless communication device, wireless communication terminal and wireless communication method 
       ","
     A wireless communication device includes a receiver and a transmitter. The receiver receives a plurality of first frames each including first information for generation of a trigger frame for uplink multi-user transmission. The transmitter transmits a second frame generated on the basis of the first information included in the plurality of first frames, the second frame being the trigger frame and designating at least one target terminal for the uplink multi-user transmission. Each of the first frames is transmitted by a respective one of terminals, each of which accesses a wireless medium using an access category associated with the first frame under CSMA/CA (Carrier Sense Multiple Access with Carrier Avoidance) to transmit the first frame. The second frame instructs the at least one target terminal to transmit third frames including data in a SIFS (Short Interframe Space) after the second frame is received. 
   
   ",,
US12062803B2,"Material for dissipating heat from and/or reducing heat signature of electronic devices and clothing 
       ","
     Systems, methods and articles having a heat-shielding or blocking, heat-dissipating and/or heat signature-reducing material layer or coating are disclosed. In one example, the heat-shielding or blocking, heat-dissipating and/or heat signature-reducing material completely covers the interior of a housing having a plurality of battery cells removably disposed therein. Other examples include a heat-shielding or blocking, heat-dissipating and/or heat signature-reducing material layer having anti-static, anti-radio frequency (RF), anti-electromagnetic interference (EMI), anti-tarnish, and/or anti-corrosion materials and properties that effectively protect battery-operated devices and/or the batteries that power them from damage or diminished operation. 
   
   ",,
US12192173B2,"Network traffic inspection 
       ","
     Network traffic inspection is disclosed. An application executing on a client device as an operating system that uses a virtual private network (VPN) stack of the operating system intercepts a first IP packet. The application determines that a policy should be applied to the intercepted first IP packet. The policy is applied to the intercepted first IP packet. 
   
   ",,
US12199063B2,"Microelectronic assemblies 
       ","
     Microelectronic assemblies, and related devices and methods, are disclosed herein. For example, in some embodiments, a microelectronic assembly may include a package substrate having a first surface and an opposing second surface, and a die secured to the package substrate, wherein the die has a first surface and an opposing second surface, the die has first conductive contacts at the first surface and second conductive contacts at the second surface, and the first conductive contacts are coupled to conductive pathways in the package substrate by first non-solder interconnects. 
   
   ",,
US12284008B2,"Wireless communication device 
       ","
     According to one embodiment, a wireless communication device includes a receiver configured to receive a plurality of first frames which are transmitted by multiplexing; and a transmitter configured to transmit a second frame containing check results indicating whether the plurality of first frames are successfully received and first information specifying at least one wireless communication device. The receiver is configured to receive a plurality of third frames transmitted by multiplexing in response to the second frame. 
   
   ",,
US12284492B2,"Sound-output device 
       ","
     The present application discloses a sound-output device, including a vibration speaker configured to generate a bone-conducted sound wave; and an air-conducted speaker configured to generate an air-conducted sound wave. The sound-output device further comprises a signal processing module configured to generate a control signal, wherein, the vibration speaker includes a vibration assembly electrically connected to the signal processing module to receive the control signal, and generate the bone-conducted sound wave based on the control signal, and the air-conducted speaker includes a housing coupled to the vibration assembly to generate the air-conducted sound wave based on the bone-conducted sound wave. 
   
   ",,
US12198553B2,"Intelligent electronic footwear and control logic for executing automated footwear features 
       ","
     Presented are intelligent electronic footwear with controller automated features, methods for making/using such footwear, and control systems for executing automated features of intelligent electronic footwear. An intelligent electronic shoe (IES) includes an upper that attaches to a user's foot, and a sole structure that is attached to the upper and supports thereon the user's foot. An alert system, which is mounted to the sole structure and/or upper, generates predetermined outputs in response to electronic command signals. The IES system also includes a wireless communications device that wirelessly communicates with a remote computing node, and a footwear controller that communicates with the wireless communications device and alert system. The footwear controller receives location data indicative of the user's and remote computing node's locations, determines whether the user's location is within a predetermined location/proximity to the node's location and, if so, transmits command signals to the alert system to notify the user/vehicle. 
   
   ",,
US12219578B2,"Method of monitoring PDCCH, terminal and network device 
       ","
     A PDCCH monitoring method, a terminal and a network device are provided. The method includes: monitoring PDCCH according to PDCCH blind detection capability information of N scheduling cells which are in M cells configured for UE by a network device and further including X scheduled cells; PDCCH blind detection capability information is related to a cell parameter of M cells and indicates maximum processing capability of UE in performing PDCCH blind detection in each or N scheduling cells per unit time; M and N are positive integers greater than or equal to 1, X is a positive integer greater than or equal to 0, M=N+X. 
   
   ",,
US12189095B2,"Image capturing lens assembly, image capturing device and electronic device 
       ","
     An image capturing lens assembly includes, in order from an object side to an image side, a first lens element, a second lens element, a third lens element, a fourth lens element and a fifth lens element. The first lens element with positive refractive power has a convex object-side surface. The second lens element has refractive power. The third lens element has refractive power, and an object-side surface and an image-side surface thereof being aspheric. The fourth lens element has negative refractive power, and an object-side surface and an image-side surface thereof are aspheric. The fifth lens element with negative refractive power has a concave object-side surface, and the object-side surface and an image-side surface thereof are aspheric. 
   
   ",,
US12216256B2,"Photographing optical lens assembly, image capturing device and mobile terminal 
       ","
     A photographing optical lens assembly includes, in order from an object side to an image side, a first lens element, a second lens element, a third lens element, a fourth lens element, a fifth lens element, and a sixth lens element. The first lens element with positive refractive power has an object-side surface being convex in a paraxial region thereof. The second lens element has negative refractive power. The third lens element has refractive power. The fourth lens element has refractive power. The fifth lens element with refractive power has an object-side surface being concave in a paraxial region thereof. The sixth lens element with positive refractive power has an object-side surface being convex in a paraxial region thereof, and an image-side surface being concave in a paraxial region thereof. The photographing optical lens assembly has a total of six lens elements with refractive power. 
   
   ",,
